,trade_date,price,settle,per,normcjl,normcje,normccl,jc,dt,g_settle,q,iv,normprice,normsettle,normper,normjc,normdt,normgse,normq,normiv
1131,20160411,2.25,0.013,-0.1,-0.290790542,-0.036349192,-0.12218212,-0.106,16,0.1154,-0.017475546,0.260047913,-1.19466276030825,-0.6875642887730202,0.0411579262107689,-0.19091075854706352,-0.3666814437573662,-0.24064467482920301,-0.09324024430324958,-0.009170684042993949
1132,20160411,2.3,0.0221,-0.031674208,-0.435132586,-0.038189693,-0.644376225,-0.156,44,0.1593,-0.051312115,0.228610992,-1.0926575937551792,-0.6191131505832341,0.04925002752098781,-0.37303531090109504,1.6086070730951152,0.007008508512792461,-0.09979815361502346,-0.16011602867714186
1133,20160411,2.2,0.0254,-0.07480315,-0.164514492,-0.030158353,0.08560004,-0.056,16,0.1875,1.179241084,0.465606689,-1.296667926861321,-0.5942902103605645,0.04414209158858683,-0.008786206193032,-0.3666814437573662,0.1660932413201791,0.13869695746894112,0.9778261114095126
1134,20160412,2.3,0.0046,-0.195652174,-0.40584506,-0.038989505,0.020336351,-0.158,15,0.075,-0.954774586,0.141113281,-1.0926575937551792,-0.7507499547943611,0.029829450390822507,-0.3803202929952563,-0.4372274622163834,-0.4685532991348208,-0.2748993865860477,-0.580238983517219
1135,20160412,2.25,0.0105,-0.19047619,-0.339614353,-0.03785627,-0.075528945,-0.108,15,0.1157,-0.010879543,0.252059937,-1.19466276030825,-0.706369546517467,0.030442463217780623,-0.1981957406412248,-0.4372274622163834,-0.23895228405465638,-0.09196186440917141,-0.04752519688632562
1136,20160412,2.3,0.0191,-0.178010471,-0.435470584,-0.038472357,-0.60561137,-0.158,43,0.1586,-0.051779033,0.219947815,-1.0926575937551792,-0.6416794598765703,0.031918828995622185,-0.3803202929952563,1.538061054636098,0.0030595967055168714,-0.0998886475980285,-0.20171253992236293
1137,20160412,2.2,0.0222,-0.121621622,-0.319368273,-0.035942109,0.099811705,-0.058,15,0.1886,1.285248699,0.462608337,-1.296667926861321,-0.6183609402734563,0.038597189619303446,-0.01607118828719327,-0.4372274622163834,0.1722986741601835,0.15924243078591485,0.9634294319136264
1138,20160413,2.3,0.0073,0.342465753,-0.272302052,-0.037712572,0.04175959,-0.132,14,0.056,-0.962572443,0.136581421,-1.0926575937551792,-0.7304402764303588,0.09356094408692164,-0.28561552577115995,-0.5077734806754006,-0.575738048189443,-0.276410699362239,-0.601998848916687
1139,20160413,2.25,0.0152,0.25,-0.120371954,-0.033238743,-0.086695253,-0.082,14,0.0886,-0.082581928,0.243759155,-1.19466276030825,-0.6710156619579071,0.08260984905970738,-0.10349097341712842,-0.5077734806754006,-0.39183158402203855,-0.10585859661827618,-0.08738165737502718
1140,20160413,2.3,0.0272,0.231617647,-0.404290269,-0.037235455,-0.572387373,-0.132,42,0.132,-0.08743946,0.220748901,-1.0926575937551792,-0.5807504247845628,0.08043275226445608,-0.28561552577115995,1.4675150361770808,-0.14699905197095411,-0.1068000411936715,-0.1978661008149328
1141,20160413,2.2,0.0304,0.197368421,0.053747713,-0.021778335,0.082787314,-0.032,14,0.1602,1.224665547,0.473587036,-1.296667926861321,-0.556679694871671,0.07637647719649077,0.07863357893690313,-0.5077734806754006,0.012085680836432527,0.1475007315421939,1.0161439933743235
1142,20160414,2.3,0.0066,-0.287878788,-0.378213724,-0.038655693,0.058995464,-0.126,13,0.0476,-1.056493889,0.122718811,-1.0926575937551792,-0.7357057485988039,0.018906677567545858,-0.26376057948867615,-0.5783194991344178,-0.6231249898767496,-0.29461373659390006,-0.6685605978862756
1143,20160414,2.25,0.015,-0.2,-0.307183445,-0.036751679,-0.071193541,-0.076,13,0.0815,-0.101824922,0.238090515,-1.19466276030825,-0.6725200825774629,0.02931451968250077,-0.0816360271346446,-0.5783194991344178,-0.4318848323529763,-0.10958810623667184,-0.11459980696438793
1144,20160414,2.3,0.0284,-0.014184397,-0.438732265,-0.038187083,-0.556230063,-0.126,41,0.126,-0.09466684,0.219985962,-1.0926575937551792,-0.5717239010672285,0.051321416938743564,-0.26376057948867615,1.3969690177180636,-0.18084686746188747,-0.10820078908278898,-0.20152937592669806
1145,20160414,2.2,0.0304,-0.338815789,-0.120338154,-0.028621363,0.113135141,-0.026,13,0.1503,1.260817996,0.470596313,-1.296667926861321,-0.556679694871671,0.012874001465807855,0.10048852521938693,-0.5783194991344178,-0.04376321472360757,0.1545074845596328,1.001783944756958
1146,20160415,2.3,0.0046,-0.434782609,-0.358998538,-0.038684242,0.10789036,-0.122,12,0.045,-1.098441974,0.109558105,-1.0926575937551792,-0.7507499547943611,0.001508260840956526,-0.24919061530035358,-0.648865517593435,-0.6377923765894874,-0.30274374933935844,-0.7317521331768562
1147,20160415,2.25,0.0131,-0.167938931,-0.376033637,-0.037965826,-0.054359485,-0.072,12,0.0795,-0.057549082,0.232551575,-1.19466276030825,-0.6868120784632423,0.03311164242147932,-0.06706606294632207,-0.648865517593435,-0.44316743751662074,-0.1010069482764008,-0.14119519800818214
1148,20160415,2.2,0.0275,-0.130909091,-0.25910323,-0.033257508,0.103026248,-0.022,12,0.1221,1.052018899,0.411346436,-1.296667926861321,-0.5784937938552293,0.03749723690944656,0.11505848940770945,-0.648865517593435,-0.20284794753099414,0.11403986083258535,0.7172938350768189
1149,20160415,2.3,0.0281,-0.021352313,-0.416035699,-0.037619325,-0.511416791,-0.122,40,0.147,0.008060206,0.245948792,-1.0926575937551792,-0.573980531996562,0.050472491507258785,-0.24919061530035358,1.3264229992590464,-0.062379513243620885,-0.08829112709742565,-0.076868047865092
1150,20160418,2.3,0.002,-1.1,-0.366958391,-0.039052375,0.089597071,-0.146,9,0.056,-1.675746318,0.118209839,-1.0926575937551792,-0.7703074228485858,-0.07727613907191243,-0.3366104004302887,-0.8605035729704866,-0.575738048189443,-0.41463185280650106,-0.6902105658486509
1151,20160418,2.25,0.0065,-0.861538462,-0.322596154,-0.038109216,-0.028072134,-0.096,9,0.096,-0.101389954,0.246887207,-1.19466276030825,-0.7364579589085817,-0.049034169713011826,-0.15448584807625723,-0.8605035729704866,-0.3500859449165541,-0.10950380452459449,-0.07236221933357477
1152,20160418,2.2,0.0186,-0.333333333,-0.232367589,-0.03471413,0.13707503,-0.046,9,0.146,1.583518816,0.469543457,-1.296667926861321,-0.6454405114254597,0.013523311017621279,0.027638704277774314,-0.8605035729704866,-0.06802081582544311,0.2170505489109583,0.9967286242384464
1153,20160418,2.3,0.0199,-0.351758794,-0.421088769,-0.038123544,-0.471615669,-0.146,37,0.1617,0.002077778,0.243484497,-1.0926575937551792,-0.6356617773983473,0.011341108766683783,-0.3366104004302887,1.1147849438819948,0.020547634709165867,-0.0894505892251673,-0.0887004362232015
1154,20160419,2.3,0.0013,-1.076923077,-0.404983165,-0.039229728,0.098585103,-0.139,8,0.0539,-1.768123857,0.110229492,-1.0926575937551792,-0.775572895017031,-0.07454304526680701,-0.3111129631007244,-0.9310495914295038,-0.5875847836112696,-0.43253566342059885,-0.7285284478134619
1155,20160419,2.25,0.0049,-0.612244898,-0.324607242,-0.038499243,-0.035474043,-0.089,8,0.0919,-0.021360062,0.234695435,-1.19466276030825,-0.7484933238650276,-0.01950931947968354,-0.1289884107466928,-0.9310495914295038,-0.37321528550202526,-0.09399310738603243,-0.13090138817396318
1156,20160419,2.2,0.0152,-0.269736842,-0.294238122,-0.036455276,0.166640369,-0.039,8,0.1395,1.858679148,0.452354431,-1.296667926861321,-0.6710156619579071,0.021055301984464737,0.053136141607338726,-0.9310495914295038,-0.10468928260728742,0.2703797296400562,0.9141949863705608
1157,20160419,2.3,0.0173,-0.213872832,-0.416322998,-0.038232992,-0.42914986,-0.139,36,0.1597,0.037328559,0.234127045,-1.0926575937551792,-0.6552192454525719,0.027671503791757097,-0.3111129631007244,1.0442389254229776,0.009265029545521414,-0.08261858965194811,-0.13363053026890956
1158,20160420,2.3,0.0007,-0.857142857,-0.350497888,-0.039248399,0.017671664,-0.152,7,0.0678,-2.000479819,0.125091553,-1.0926575937551792,-0.780086156875698,-0.048513580343484956,-0.3584653467127725,-1.001595609888521,-0.5091706777239408,-0.47756887369809414,-0.6571678040780677
