trade_date,price,open,settle,close,high,low,vol,amount,oi
20190220,2.05,0.5284,0.527,0.5266,0.539,0.5094,890,467.5704,1797
20190221,2.7,0.003,0.0015,0.0015,0.0038,0.001,51857,127.1054,60567
20190221,2.65,0.0099,0.0048,0.0048,0.0126,0.0035,121935,1031.6235,97458
20190221,2.8,0.0124,0.0103,0.0103,0.015,0.0089,23553,292.8497,10953
20190221,2.6,0.0242,0.0158,0.0158,0.0321,0.0121,291947,6596.1328,127453
20190221,2.75,0.0202,0.0168,0.0168,0.0234,0.0146,29928,608.5324,30346
20190221,2.55,0.048,0.0376,0.0376,0.0656,0.0312,301498,14427.7892,100211
20190221,2.05,0.5179,0.516,0.5156,0.5512,0.5061,2690,1415.3593,3125
20190222,2.7,0.0014,0.0038,0.0038,0.0038,0.0006,36037,57.8597,51432
20190222,2.65,0.0052,0.0132,0.0132,0.0133,0.0025,120359,825.9744,86998
20190222,2.8,0.0103,0.0155,0.0155,0.0155,0.008,22709,247.6642,20272
20190222,2.75,0.0159,0.0266,0.0266,0.0266,0.0134,31452,574.3657,34003
20190222,2.6,0.0154,0.0357,0.0357,0.0359,0.0086,260695,5028.9459,98758
20190222,2.55,0.0385,0.0745,0.0745,0.0745,0.025,338284,13419.1001,65318
20190222,2.05,0.5086,0.568,0.5671,0.5671,0.4969,1137,590.771,3042
20190225,2.7,0.011,0.1263,0.1263,0.1263,0.008,351173,12243.0324,27718
20190225,2.8,0.0231,0.1332,0.1332,0.1332,0.0231,210236,12408.6602,62012
20190225,2.75,0.042,0.158,0.158,0.2741,0.036,155489,11191.7726,34689
20190225,2.65,0.025,0.1751,0.1751,0.2,0.023,348599,19768.5143,31330
20190225,2.6,0.0517,0.216,0.213,0.2158,0.0517,221045,21155.171,29949
20190225,2.55,0.1,0.269,0.269,0.269,0.096,121046,16991.9983,23000
20190225,2.05,0.6011,0.7676,0.7676,0.7676,0.5983,2885,1921.9153,2861
20190226,2.95,0.0874,0.0293,0.0293,0.0885,0.0231,59624,3357.0385,26647
20190226,2.7,0.1298,0.0396,0.0396,0.1298,0.0287,105207,7131.2889,15031
20190226,2.8,0.137,0.0704,0.0704,0.1377,0.0604,216418,21954.2597,84186
20190226,2.65,0.1752,0.0798,0.0798,0.1768,0.07,52440,6184.4652,13979
20190226,2.75,0.1645,0.0874,0.0874,0.1647,0.08,127207,15385.3975,48622
20190226,2.6,0.2188,0.128,0.1243,0.2188,0.1135,43125,7323.083,11374
20190226,2.55,0.269,0.178,0.173,0.2692,0.1615,26265,5640.1302,10454
20190226,2.05,0.7647,0.678,0.6718,0.7657,0.6652,1604,1155.5217,2451
20190227,2.95,0.0293,0.0351,0.0351,0.0469,0.027,52460,1936.8954,38391
20190227,2.7,0.042,0.036,0.0345,0.0793,0.0092,119638,5566.8896,2301
20190227,2.8,0.0708,0.075,0.075,0.0978,0.061,209921,16767.3059,106524
20190227,2.65,0.083,0.086,0.0836,0.125,0.0587,32530,3158.5755,1628
20190227,2.75,0.0899,0.0961,0.0961,0.122,0.0782,173900,17533.2225,68227
20190227,2.6,0.1308,0.136,0.1232,0.1764,0.1016,19460,2760.7024,3348
20190227,2.55,0.1799,0.186,0.1824,0.2265,0.1522,11800,2283.6618,4863
20190227,2.05,0.7033,0.686,0.6861,0.7244,0.6574,1401,975.8301,2523
20190228,2.95,0.0338,0.0289,0.0289,0.0359,0.0262,51215,1594.5385,54020
20190228,2.8,0.074,0.0678,0.0678,0.0794,0.0647,179653,12887.0775,127469
20190228,2.75,0.0949,0.0879,0.0879,0.101,0.0836,165407,15148.6047,83141
20190301,2.95,0.033,0.0424,0.0424,0.0435,0.0274,54355,1874.0327,56108
20190301,2.8,0.079,0.0952,0.0952,0.0964,0.0658,264258,20660.191,115034
20190301,2.75,0.0997,0.1181,0.1181,0.1235,0.085,212191,21109.3829,75490
20190304,2.95,0.0508,0.0487,0.0487,0.1083,0.0428,173104,11786.8085,66138
20190304,3,0.07,0.075,0.075,0.1272,0.064,37873,3402.7514,20079
20190304,2.8,0.1063,0.1035,0.1035,0.1782,0.0925,281452,34309.6041,79972
20190304,2.75,0.1348,0.1308,0.1308,0.2099,0.118,143946,22003.0891,60222
20190305,2.95,0.0494,0.0553,0.0553,0.0589,0.045,65878,3452.7875,69735
20190305,3,0.0728,0.0805,0.0805,0.0847,0.067,15344,1173.6915,27346
20190305,2.8,0.1038,0.1075,0.1075,0.1138,0.0942,164167,17083.0121,94698
20190305,2.75,0.131,0.1355,0.1355,0.1417,0.12,90735,11828.1536,60848
20190306,2.95,0.0577,0.0584,0.0584,0.0688,0.0437,92068,5250.1565,76947
20190306,3,0.0775,0.0867,0.0867,0.1077,0.0706,19222,1608.4523,32414
20190306,2.8,0.107,0.1109,0.1109,0.1261,0.0872,185921,19843.7028,95049
20190306,2.75,0.1294,0.138,0.138,0.1542,0.1101,88973,11710.5808,61699
20190307,2.95,0.0563,0.0431,0.0431,0.0606,0.0431,77151,4002.6981,84898
20190307,3,0.0867,0.0769,0.0769,0.0896,0.0751,17474,1434.6081,37437
20190307,2.8,0.1095,0.0891,0.0891,0.1095,0.0845,186258,18059.7925,105521
20190307,2.75,0.1367,0.111,0.111,0.1375,0.105,95451,11419.7738,63517
20190308,2.95,0.0263,0.0218,0.0218,0.0371,0.0211,98865,2833.989,95697
20190308,2.8,0.0662,0.0482,0.0482,0.0736,0.0482,205317,11966.3475,121811
20190308,3,0.0664,0.0505,0.0505,0.0701,0.0498,28674,1692.6301,46897
20190308,2.75,0.0767,0.063,0.063,0.0925,0.062,156259,11671.3731,78647
20190311,2.95,0.0214,0.0144,0.0144,0.0273,0.009,76104,1361.477,100439
20190311,3,0.0517,0.037,0.037,0.0564,0.0273,35475,1456.9896,54770
20190311,2.8,0.0492,0.0409,0.0409,0.0559,0.0311,148933,6549.3958,124445
20190311,2.75,0.0635,0.055,0.055,0.07,0.0455,139696,8119.8898,81518
20190311,2.5,0.2448,0.2451,0.2471,0.2639,0.2162,1854,443.6914,450
20190312,2.95,0.0173,0.0121,0.0121,0.0226,0.011,60848,1019.7389,99371
20190312,3,0.0403,0.0388,0.0388,0.0511,0.0352,29388,1259.2436,63022
20190312,2.8,0.052,0.0404,0.0404,0.058,0.034,191595,9343.6213,121544
20190312,2.75,0.0699,0.0569,0.0569,0.0784,0.0486,188280,12423.6745,84737
20190312,2.5,0.2556,0.252,0.252,0.2855,0.2397,1824,484.0504,508
20190313,2.95,0.0134,0.0095,0.0095,0.0149,0.0088,44972,526.2503,94391
20190313,2.8,0.0435,0.0358,0.0358,0.047,0.0312,149563,5783.5539,116195
20190313,3,0.0396,0.0372,0.0372,0.0427,0.032,26650,999.1486,68127
20190313,2.75,0.0592,0.0535,0.0535,0.0669,0.045,176246,9737.7435,81249
20190313,2.5,0.2639,0.2584,0.2584,0.2814,0.2341,2641,672.7182,984
20190314,2.95,0.009,0.0088,0.0088,0.0114,0.0081,30557,294.636,87877
20190314,3,0.0351,0.0328,0.0328,0.04,0.0319,25321,914.464,73956
20190314,2.8,0.0356,0.0332,0.0332,0.0438,0.0302,102915,3885.5288,126847
20190314,2.75,0.0515,0.0482,0.0482,0.064,0.0453,137296,7621.7547,90194
20190314,2.5,0.2599,0.2571,0.2571,0.2805,0.2491,1949,519.3858,1156
20190315,2.95,0.009,0.0077,0.0077,0.011,0.0067,42902,374.7168,86511
20190315,3,0.0338,0.0316,0.0316,0.036,0.0293,39002,1273.2858,79698
20190315,2.8,0.0373,0.0339,0.0339,0.0458,0.031,173787,6441.3774,127382
20190315,2.75,0.053,0.0526,0.0526,0.069,0.0488,230102,12970.1931,86974
20190315,2.5,0.2551,0.2756,0.2756,0.3007,0.2551,2305,643.9548,1523
20190318,2.95,0.0075,0.0157,0.0157,0.021,0.004,77602,913.601,81860
20190318,3,0.031,0.0474,0.0474,0.0572,0.0253,76446,2768.6461,70346
20190318,2.8,0.0348,0.0618,0.0618,0.0684,0.027,264200,12595.7506,109765
20190318,2.75,0.0552,0.0927,0.0927,0.0985,0.045,231867,15499.1961,67458
