trade_date,normprice,normsettle,normper,normjc,normgse,normiv,normcjl,normcje,normccl
20190320,-0.072605928,-0.435573835,0.052237242,0.173338346,0.035779152,1.722716918,4.489717892,0.182088244,1.963950763
20190320,-0.174611095,-0.23022042,0.055889968,0.355462899,0.442517068,3.32206715,2.508322949,0.166348436,0.601809173
20190320,-0.684636928,1.635261148,0.05734416,1.26608566,-0.801390151,0.287847834,-0.406419656,-0.017133739,-0.681322325
20190321,0.233409571,-0.736457959,-0.014414981,-0.409460221,-0.725232567,-0.767762145,0.179432267,-0.033557275,1.50321365
20190321,-0.072605928,-0.494246239,0.016277592,0.136913436,-0.590969565,0.276711476,3.978259327,0.15072423,2.188355495
20190321,0.335414738,-0.453626882,0.053538449,-0.591584774,0.079217182,0.017278174,0.358774003,-0.002690672,1.28341925
20190321,-0.174611095,-0.307698082,0.024838271,0.319037988,0.506827917,-1.257798749,1.538589803,0.097861545,0.61737433
20190321,-0.684636928,1.561544537,0.049281288,1.22966075,-0.795748849,0.30288559,-0.454499871,-0.03123067,-0.68026491
20190322,0.233409571,-0.762033109,-0.07307364,-0.434957659,-0.768106466,-0.916711003,0.290667407,-0.035952224,1.313640187
20190322,-0.072605928,-0.595794631,-0.018905064,0.111415998,-0.626509771,0.034129252,4.601493829,0.103326383,2.153841451
20190322,0.335414738,-0.492741819,0.033211579,-0.617082211,0.09670522,-0.007430628,0.381960666,-0.005689159,1.554371416
20190322,-0.174611095,-0.404733212,0.016956182,0.293540551,0.518674653,-1.257798749,2.659205254,0.116115905,0.664746548
20190322,-0.684636928,1.499863292,0.053274222,1.204163312,-0.79744124,0.290393812,-0.431532907,-0.025296868,-0.674681755
20190325,0.233409571,-0.780086157,-0.04851358,-0.708144487,-0.5356848,-0.435319733,0.219011833,-0.038428651,0.904314619
20190325,-0.072605928,-0.76353753,-0.318636596,-0.16177083,-0.29592944,0.505849466,2.703787189,-0.015246025,1.798507522
20190325,-0.174611095,-0.717652701,-0.235188226,0.020353722,0.536726821,3.448779908,3.26652005,0.028698788,0.942148949
20190325,0.335414738,-0.664245769,-0.049984811,-0.89026904,0.854332156,0.252167515,0.97778353,-0.006722321,2.050912619
20190325,-0.684636928,0.901856096,0.024963665,0.930976484,-0.783902113,0.11884254,-0.374766144,-0.014343335,-0.63204676
20190326,0.233409571,-0.784599419,-0.657603059,-0.744569398,-0.564455443,-0.459497361,-0.123312536,-0.039218597,0.654679952
20190326,-0.072605928,-0.783847208,-1.960377777,-0.198195741,-0.282390314,0.33939015,0.593953008,-0.037877383,1.332335294
20190326,-0.174611095,-0.772564054,-0.664569769,-0.016071188,0.563805073,-1.257798749,1.843852692,-0.027013995,0.711822689
20190326,0.335414738,-0.68982092,0.00171099,-0.92669395,0.854332156,0.188170062,0.878192421,-0.02310211,2.476860759
20190326,-0.684636928,0.841679271,0.042488462,0.894551573,-0.812108626,-0.006972721,-0.345799716,-0.011456507,-0.574375314
20190327,-0.174611095,-0.785351629,-2.315679973,0.096846034,-0.739335823,1.142966654,1.259183761,-0.035871672,0.562431017
20190327,-0.072605928,-0.785351629,-0.183866798,-0.085278518,-0.457270694,1.142966654,0.004349306,-0.039220791,1.16054756
20190327,0.233409571,-0.785351629,0.053001333,-0.631652175,0.388924693,1.142966654,-0.430417514,-0.039340035,0.610141608
20190327,0.335414738,-0.700351864,0.038328086,-0.813776728,0.707658289,0.073472851,0.61049801,-0.0268058,2.872587962
20190327,-0.684636928,0.987608071,0.059835034,1.007468796,-0.838622749,-0.045034172,-0.330082809,-0.006066333,-0.561136471
20190328,0.335414738,-0.724422594,0.025220503,-0.831989183,0.716120243,-0.000305555,0.778330914,-0.029358921,3.316512167
20190328,-0.684636928,0.938714401,0.056515083,0.989256341,-0.850469484,-0.120058091,-0.324370643,-0.006601753,-0.542399068
20190329,0.335414738,-0.591281369,0.130580236,-0.464097587,0.217993225,0.066512624,4.807233208,0.073858496,3.224305529
20190329,-0.684636928,1.702207865,0.089065168,1.357147936,-0.865136871,0.120839026,-0.248692892,0.023895331,-0.562638002
20190401,0.335414738,-0.452874672,0.082207924,-0.263760579,0.034650891,0.245701831,6.435268148,0.259589353,3.559992676
20190401,0.335414738,-0.213671794,0.086817375,-0.263760579,-0.86400861,-0.974499198,-0.170125258,-0.015804356,-0.582813491
20190401,-0.684636928,2.089596175,0.068255144,1.557484944,0.155374766,-1.257798749,-0.377520828,-0.002017643,-0.568073118
20190402,0.335414738,-0.456635724,0.033488169,-0.271045562,0.026753068,0.264219698,3.352743338,0.118080874,3.527699205
20190402,0.539425071,-0.395706689,0.057345439,-0.635294666,-0.867393392,-1.054157166,-0.246817003,-0.027714121,-0.576490146
20190402,0.335414738,-0.191857695,0.056453783,-0.271045562,0.161016069,0.131636536,-0.270172665,-0.023775878,-0.546734471
20190402,-0.684636928,2.110658064,0.049955885,1.550199962,0.568882246,-1.257798749,-0.42936972,-0.020826391,-0.564964316
20190403,0.335414738,-0.407742054,0.078717096,-0.165413321,-0.113715367,0.222806346,2.8368232,0.101380564,3.606920779
20190403,0.539425071,-0.32575113,0.082464472,-0.529662426,-0.873034694,-1.043240598,-0.260336923,-0.028042152,-0.494328956
20190403,0.335414738,-0.103849088,0.072609622,-0.165413321,0.058908492,0.140895467,-0.284638979,-0.024337945,-0.532332471
20190403,-0.684636928,2.317515899,0.062418635,1.655832202,0.460569236,-1.257798749,-0.396583915,-0.008255819,-0.564604795
20190404,0.743435404,-0.39946774,0.074471836,-0.755496871,-0.223156637,-0.412524989,-0.172541944,-0.025275733,-0.555003461
20190404,0.335414738,-0.349069649,0.058106249,-0.026998661,-0.869085782,-0.905977599,4.295791543,0.219106481,3.120086651
20190404,0.539425071,-0.22946821,0.064219715,-0.391247766,-0.021762135,-0.06825935,-0.188056052,-0.020149168,-0.454337499
20190404,0.335414738,0.018008982,0.069191757,-0.026998661,0.36071818,0.526565301,-0.127638911,-0.005509992,-0.465207731
20190404,-0.684636928,2.552957726,0.058552096,1.794246862,0.792277828,-1.257798749,-0.387407269,-0.001602537,-0.566444698
20190408,0.947445737,-0.525086862,0.034517403,-1.105176011,-0.258696843,-0.551711212,-0.187565955,-0.028947306,-0.556949106
20190408,0.743435404,-0.418272998,0.03164437,-0.740926907,-0.870214043,-1.063443571,-0.183526879,-0.024286021,-0.463642756
20190408,0.335414738,-0.361857225,0.019974426,-0.012428697,-0.048276257,0.608183119,4.753728126,0.288552717,3.442640696
20190408,0.539425071,-0.236990313,0.031718942,-0.376677802,0.31671602,0.252506368,-0.158548827,-0.015394572,-0.420479052
20190408,0.335414738,0.022522244,0.049252023,-0.012428697,0.747147407,0.950443116,0.001797421,0.01321398,-0.361834785
20190408,-0.684636928,2.580789507,0.051016404,1.808816826,1.219324433,-1.257798749,-0.389418357,0.000624616,-0.582644304
