time,normper,normcjl,normcje,normjc,normccl,y1,y2,y3,y4
2005,0.290725539,0.509631782,0.182268641,-0.325219287,1.187940636,0.9012557026208206,0.5901134830862608,-0.11427544041707036,-0.8454093241335527
2006,0.9723088,0.456823592,0.185862563,0.140781429,0.80263161,0.6522764257575281,0.9855836063694641,0.5307477476738293,-0.4012846898307312
2007,2.160557012,1.737452688,1.268831046,-0.064410319,1.329968591,2.4186811424689245,1.617788501067886,1.5310023995484618,-0.4318584765900387
2008,0.454062143,1.100361794,0.845946229,0.290244514,1.262450858,1.6118805317732954,1.0831273199487754,-0.07510074829260355,-0.17427594434647198
2009,-0.876828267,1.317422862,0.957956797,0.308874272,1.748490471,1.9654660712902157,0.7814052313758839,-1.4353400245932826,-0.19941689272924834
2010,-0.182411412,0.193646554,0.113546863,0.158361208,0.25679477,0.24634842588412828,0.17000976199762377,-0.2875311889368135,0.04383239901533395
2011,0.351664181,0.556348151,0.379934349,0.54807071,1.158074314,0.86167969415008,1.1787793839089553,-0.2312176702495684,-0.182968343494192
2012,-0.012736999,0.847436997,0.591975744,0.42239004,1.515566034,1.3276972925577426,1.127119222183592,-0.6427977851403718,-0.3125942896602727
2101,0.178176291,0.349369848,0.255944041,0.275740376,-0.009929632,0.3350306544370504,0.2476613544529146,0.12205223174953225,0.3147558899766936
2102,-0.018892274,0.029701625,0.012755322,0.151012446,0.816428712,0.25168329520979427,0.5653920732219315,-0.3687794150845794,-0.4004010899675596
2103,-0.385015012,0.447463164,0.289487313,0.419339528,0.494363253,0.5443387312792431,0.3859812459296438,-0.6030706234427703,0.20271657670709836
2104,0.432354871,0.339296383,0.225395704,0.542655832,0.970468953,0.5611839268822096,1.1104117732340972,-0.10050802303863991,-0.17298135283563443
2105,0.449545154,-0.08901398,-0.068107922,0.452384924,0.80289581,0.055339132401726054,0.9744244041393262,-0.027311368603087374,-0.3090030667994689
2106,0.365429902,0.014061299,0.02713101,0.482494529,0.271830675,0.010836388772293551,0.6453931727645299,0.10763191790990333,0.1077849608967647
2107,0.106904912,0.450202676,0.386523205,0.53600742,1.256262711,0.8270803399329206,1.1158157187441828,-0.4814821273133738,-0.23535296156148694
2108,0.584103445,0.081484694,0.115182098,-0.169727289,1.255980898,0.5646815655392858,0.8615342613177379,0.07873302375987229,-0.9297837320402563
2109,0.43086288,0.522181245,0.539264889,0.539376969,1.725094109,1.1225896820154373,1.5217928130644491,-0.3623845640335,-0.5085603678094928
2110,-0.408571808,-0.237901414,-0.133912633,0.553672421,0.023987754,-0.35963070344323345,0.2147679630368105,-0.512286119306768,0.319093612251624
2111,0.276254594,-0.141400548,-0.048940338,0.37489186,1.108310809,0.14435318142212109,1.0184957384804432,-0.2789235793671131,-0.5306175321437786
2112,0.400379514,0.207298642,0.264329859,0.766692579,1.461187838,0.6043742345993124,1.525944111892172,-0.36679796144702814,-0.34008679723113067
2201,-1.122011642,-0.124042731,-0.038757559,0.417854698,0.507220978,-0.04752808809803895,0.07956349365091173,-1.2903647770665634,0.08087704518757238
2202,-0.028158287,-0.291131226,-0.199286074,0.617786716,0.686524593,-0.23946345487243426,0.813959309302096,-0.45555252161157944,-0.140780196977221
2203,-1.118901484,0.353897121,0.248756197,0.005865093,1.179409917,0.7548663899526493,0.17595644010965292,-1.4261459178415299,-0.4273761647942582
2204,-1.362752183,0.752710459,0.433843178,0.533974109,1.535474958,1.1338243253243174,0.6261130462744612,-1.886820182016214,-0.13043570756694872
2205,-0.02731808,0.344569761,0.134349681,0.031241597,1.777617034,0.866591021515865,1.0322162873349916,-0.7121294177201097,-0.9820195527568574
