time,per,cjl,cje,jc,ccl,price,avgp
210723,0.9474,257027,3.55E+11,-38.7499,87385,6947,6906.2625
210730,-2.6503,372298,5.02E+11,-8.716,91968,6758.6,6747.7303
210806,2.4201,267978,3.66E+11,-40.6679,79136,6898.2,6834.2809
210813,2.913,258217,3.61E+11,-8.8876,67415,7080,6980.9073
210820,-2.8734,267175,3.70E+11,-58.2248,157080,6861.8,6928.3059
210827,3.7641,278642,3.92E+11,-73.3088,145668,7106.8,7025.2641
210903,1.4821,355290,5.09E+11,-61.6809,137934,7217,7157.5054
210910,5.4987,325626,4.84E+11,-13.8749,105957,7593.8,7431.1923
210917,-3.5645,353031,5.31E+11,-74.5645,101846,7321,7519.1511
210924,0.8567,188689,2.79E+11,-10.3843,98051,7370,7381.1044
210930,-3.6528,275834,3.94E+11,-8.4076,85413,7095.2,7144.9745
211008,-0.2311,57105,81142640640,-9.9356,83939,7081.4,7104.6879
211015,-0.8217,252850,3.55E+11,0.8404,0,7025,7010.1475
211022,-0.0428,225510,3.18E+11,-21.8676,77968,7004.2,7041.8596
211029,0.1885,227480,3.19E+11,-7.0992,77552,7015.4,7006.3657
211105,-0.0799,234059,3.29E+11,11.6923,74568,7003.6,7029.4222
211112,2.1995,214158,3.02E+11,8.3873,58029,7165,7062.3657
211119,0.0642,199409,2.83E+11,0.1241,150436,7170,7102.6149
211126,0.4719,208702,3.01E+11,-23.4622,141114,7196.4,7216.5688
211203,1.3348,258229,3.73E+11,-13.9173,122941,7288,7225.073
211210,0.6018,268453,3.89E+11,15.354,93005,7322,7252.9322
211217,-0.0492,231630,3.40E+11,1.4399,85508,7316,7337.3357
211224,-0.0027,223668,3.26E+11,30.6444,89080,7309.4,7284.4864
211231,0.9614,211781,3.10E+11,12.3976,93717,7371.8,7323.596
220107,-2.5184,193444,2.81E+11,16.324,85895,7192,7263.914
220114,-1.5226,205923,2.95E+11,7.2592,77582,7088.4,7155.3389
220121,-1.1536,214000,3.04E+11,32.5845,77434,7009.2,7112.6128
220128,-6.3009,259758,3.52E+11,-19.53,80855,6561,6769.644
220211,2.5821,215672,2.91E+11,8.7765,66091,6753.8,6748.8426
220218,1.0864,205894,2.78E+11,-5.6217,147682,6829.4,6758.4587
220225,-0.0616,289869,3.95E+11,-1.2311,138533,6818.2,6820.2905
220304,-0.0088,250212,3.42E+11,13.1663,126239,6817,6838.9702
220311,-4.7527,400326,5.15E+11,7.0731,100720,6481.2,6429.6799
220318,-2.3614,390892,4.84E+11,-39.2166,104250,6293,6196.0471
220325,-1.4346,294193,3.71E+11,-57.2376,105048,6211,6303.1564
220401,2.0283,294473,3.70E+11,3.8794,93892,6368.4,6282.8118
220408,-2.4045,188852,2.36E+11,-14.1167,91359,6210,6240.5364
220415,-2.8948,342488,4.15E+11,-52.7489,100720,6018,6063.4426
220422,-5.7824,358173,4.22E+11,-54.3844,107542,5686.6,5890.6033
220429,-1.4971,537565,5.78E+11,-8.9021,103391,5619,5373.1996
220506,-1.6264,149340,1.67E+11,-59.5693,102168,5504.2,5593.2986
220513,4.7574,383735,4.35E+11,-14.4014,82261,5782.4,5673.4391
220520,2.1041,361352,4.17E+11,-38.2882,179287,5891.2,5774.7313
220527,-0.3172,432170,5.02E+11,-54.915,174431,5845,5806.2472
220602,3.8269,309490,3.67E+11,-28.2349,166362,6050.2,5933.614
220610,3.3773,432148,5.31E+11,10.2968,126044,6250.4,6147.797
220617,0.6376,464412,5.79E+11,-33.9092,129198,6282.4,6233.0528
220624,1.2181,424232,5.29E+11,-19.6827,125766,6348.6,6240.1118
220701,1.0844,378852,4.86E+11,-25.3375,117152,6413.2,6419.4069
220708,-0.4988,359726,4.63E+11,-21.2393,98193,6383.2,6434.7136
220715,-2.3091,299669,3.76E+11,56.2001,0,6253,6278.8903
220722,1.0747,315774,3.97E+11,-44.7325,96095,6244.8,6287.5808
220729,0.3529,285101,3.57E+11,-38.9144,86312,6255.2,6267.4562
220805,-0.0639,354198,4.38E+11,-12.5113,81405,6258,6179.6393
220812,2.8063,220209,2.79E+11,-2.453,64579,6418.4,6337.7493
220819,-1.115,230292,2.97E+11,-41.5159,170846,6350.2,6437.9319
220826,-1.4556,326813,4.13E+11,-29.3739,161563,6269,6323.8938
220902,-2.0797,335536,4.15E+11,-19.2273,149568,6130.2,6190.7592
220909,3.0249,284801,3.56E+11,-2.3724,109843,6314.6,6241.911
