time,val,per
200709,2.4295,0.034710392
200710,2.4188,-0.004404198
200713,2.4434,0.010170332
200714,2.4136,-0.01219612
200715,2.3998,-0.0057176
200716,2.3757,-0.010042504
200717,2.3814,0.002399293
200720,2.3785,-0.001217771
200721,2.32,-0.024595333
200722,2.3191,-0.000387931
200723,2.3318,0.005476262
200724,2.3193,-0.005360666
200727,2.3075,-0.005087742
200728,2.3402,0.014171181
200729,2.3545,0.006110589
200730,2.3545,0
200731,2.376,0.00913145
200803,2.3872,0.004713805
200804,2.3828,-0.001843164
200805,2.3813,-0.000629511
200806,2.4026,0.008944694
200807,2.4166,0.005827021
200810,2.392,-0.010179591
200811,2.3912,-0.000334448
200812,2.4149,0.009911342
200814,2.3988,-0.006666943
200817,2.3963,-0.001042188
200818,2.3979,0.000667696
200819,2.4197,0.009091288
200820,2.4596,0.016489647
200821,2.4716,0.004878842
200824,2.4604,-0.004531478
200825,2.4966,0.014713055
200826,2.5002,0.001441961
200827,2.5055,0.00211983
200828,2.5276,0.008820595
200831,2.5123,-0.006053173
200901,2.5206,0.003303746
200902,2.5543,0.013369833
200903,2.5735,0.007516736
200904,2.5618,-0.004546338
200907,2.5881,0.010266219
200908,2.5637,-0.009427766
200909,2.5348,-0.01127277
200910,2.505,-0.011756352
200911,2.5145,0.003792415
200914,2.5362,0.008629946
200915,2.4829,-0.021015693
200916,2.4235,-0.023923638
200917,2.4503,0.011058387
200918,2.4539,0.001469208
200921,2.4303,-0.009617344
200922,2.4305,8.23E-05
200923,2.4356,0.002098334
200924,2.4273,-0.003407785
200925,2.4418,0.005973716
200928,2.4435,0.000696208
200929,2.4505,0.002864743
200930,2.4793,0.011752704
201009,2.5125,0.013390876
201012,2.5187,0.002467662
201013,2.5069,-0.004684957
201014,2.5249,0.007180183
201015,2.5346,0.003841736
201016,2.5356,0.00039454
201019,2.5257,-0.003904401
201020,2.5181,-0.003009067
201021,2.505,-0.005202335
201022,2.4851,-0.007944112
201023,2.4937,0.003460625
201026,2.5053,0.004651722
201027,2.5143,0.003592384
201028,2.4863,-0.0111363
201029,2.4922,0.002373004
201030,2.4984,0.002487762
201031,2.5084,0.004002562
201102,2.4888,-0.007813746
201103,2.4671,-0.008719061
201104,2.4674,0.0001216
201105,2.4684,0.000405285
201106,2.4908,0.009074704
201109,2.5284,0.015095552
201110,2.536,0.003005854
201111,2.5521,0.00634858
201112,2.583,0.012107676
201113,2.6303,0.01831204
201116,2.603,-0.010379044
201117,2.6055,0.00096043
201118,2.6493,0.016810593
201119,2.6984,0.018533197
201120,2.7109,0.004632375
201123,2.6408,-0.025858571
201124,2.6774,0.013859437
201125,2.6732,-0.001568686
201126,2.6586,-0.005461619
201127,2.6625,0.001466937
201130,2.6105,-0.019530516
201201,2.6071,-0.001302432
201202,2.6472,0.015381075
201203,2.664,0.006346328
201204,2.6587,-0.001989489
201207,2.6587,0
201208,2.6249,-0.01271298
201209,2.6179,-0.002666768
201210,2.5902,-0.010581
201211,2.6183,0.010848583
201214,2.6176,-0.000267349
201215,2.5728,-0.017114914
201216,2.5484,-0.009483831
201217,2.5674,0.007455658
201218,2.5866,0.007478383
201221,2.5487,-0.014652439
201222,2.5074,-0.016204339
201223,2.4909,-0.006580522
201224,2.5102,0.007748203
201225,2.5092,-0.000398375
201228,2.497,-0.004862107
201229,2.5057,0.003484181
201230,2.4892,-0.006584986
201231,2.5793,0.036196368
210104,2.5073,-0.02791455
210105,2.4861,-0.00845531
210106,2.4622,-0.009613451
210107,2.4455,-0.006782552
210108,2.452,0.002657943
210111,2.4741,0.009013051
210112,2.461,-0.005294855
210113,2.4257,-0.014343763
210114,2.4106,-0.006225007
210115,2.4594,0.020243923
210118,2.498,0.015694885
210119,2.5125,0.005804644
210120,2.505,-0.002985075
210121,2.4844,-0.008223553
210122,2.4935,0.003662856
210125,2.504,0.004210948
210126,2.5747,0.028234824
210127,2.5993,0.009554511
210128,2.6251,0.009925749
210129,2.6315,0.002438002
210131,2.5075,-0.047121414
210201,2.6,0.036889332
210202,2.5818,-0.007
210203,2.6249,0.01669378
210204,2.6764,0.019619795
210205,2.6846,0.003063817
210208,2.6931,0.003166207
210209,2.6853,-0.002896291
210210,2.6982,0.004803933
210218,2.7391,0.015158254
210219,2.6919,-0.017231937
210220,2.6835,-0.003120473
210222,2.6958,0.004583566
210223,2.6844,-0.0042288
210224,2.6629,-0.008009239
210225,2.6779,0.005632957
210226,2.6749,-0.001120281
210228,2.6654,-0.003551535
210301,2.6607,-0.001763338
210302,2.6441,-0.00623896
210303,2.6467,0.000983321
210304,2.6634,0.006309744
210305,2.6437,-0.007396561
210308,2.6299,-0.005219957
210309,2.6443,0.005475493
210310,2.6368,-0.002836289
210311,2.6434,0.002503034
210312,2.6463,0.001097072
210315,2.6717,0.009598307
