per,normcjl,normcje,jc,normccl,normper,normjc,time
-0.016154978,-0.636379577,-0.5,-175.0242,-0.774039749,-0.79237571,-1.41516189,160324
0.003586898,-0.704362898,-0.55,-167.0312,-0.778442728,0.190185583,-1.324204133,160325
-0.005156223,-0.668125864,-0.52,-180.7782,-0.772878524,-0.244963147,-1.480640551,160328
-0.017343836,-0.644000241,-0.51,-133.0672,-0.788458294,-0.851545662,-0.937704788,160329
0.041788467,-0.647402323,-0.51,-116.7034,-0.792014546,2.091493396,-0.751490032,160330
0.004916944,-0.682414608,-0.53,-135.8138,-0.804159026,0.25638252,-0.968960209,160331
-0.001592568,-0.646974633,-0.5,-96.5278,-0.82155321,-0.067598571,-0.521898223,160401
0.033180408,-0.658347308,-0.51,-96.1826,-0.814851974,1.663066756,-0.517969959,160405
0.002378121,-0.730238163,-0.55,-100.0342,-0.828762483,0.130024255,-0.561799922,160406
-0.009129305,-0.679381895,-0.52,-72.9737,-0.840737617,-0.442705074,-0.253860176,160407
-0.011154362,-0.678293229,-0.52,-54.5419,-0.860889711,-0.543492994,-0.044112248,160408
0.02680776,-0.689238213,-0.52,-67.3004,-0.901411629,1.345897442,-0.189299856,160411
-0.001730825,-0.695167556,-0.53,-12.9729,-0.953110339,-0.074479679,0.428929539,160412
0.019156359,-0.694001128,-0.52,-38.2255,-1.047145381,0.965084065,0.141563111,160413
0.003980443,-0.806697528,-0.61,-20.6545,-1.18102496,0.20977248,0.341515414,160414
-0.024168893,-0.714627466,-0.54,-169.7496,-0.856994768,-1.191231558,-1.355138647,160415
-0.014114094,-0.69740321,-0.54,-188.0024,-0.82895602,-0.690800074,-1.562849613,160418
0.001179825,-0.714160895,-0.55,-205.629,-0.814077823,0.07038457,-1.763434625,160419
-0.051906341,-0.630469675,-0.49,-231.0126,-0.785240733,-2.571735762,-2.052291791,160420
-0.002073112,-0.68041224,-0.53,-182.282,-0.780305526,-0.091515444,-1.497753309,160421
0.004,-0.696061818,-0.54,-161.3201,-0.777450848,0.21074584,-1.259213661,160422
-0.000791003,-0.697053282,-0.55,-162.6772,-0.779434608,-0.027704351,-1.27465702,160425
0.013457944,-0.692212605,-0.54,-161.7734,-0.769781924,0.681471606,-1.264372068,160426
0.001909373,-0.711361467,-0.55,-150.899,-0.769104542,0.106694474,-1.14062491,160427
-0.003600206,-0.676349182,-0.53,-157.3285,-0.747984761,-0.167519541,-1.213790542,160428
0.004619491,-0.717096405,-0.56,-140.794,-0.7636613,0.241578162,-1.025633275,160429
0.036483155,-0.665345877,-0.52,-82.4537,-0.744912353,1.827445834,-0.361739513,160503
0.003595698,-0.738325398,-0.56,-106.9826,-0.760419546,0.190623563,-0.640870469,160504
0.009750848,-0.730665853,-0.56,-71.0166,-0.753984424,0.496967912,-0.231589011,160505
-0.03688984,-0.64228948,-0.5,-73.689,-0.765669251,-1.824358326,-0.262000059,160506
-0.049497594,-0.671877874,-0.53,-90.8473,-0.789643712,-2.451851432,-0.457255969,160509
-0.006336283,-0.732765424,-0.57,-88.8961,-0.814464898,-0.303695219,-0.435051943,160510
-0.004361393,-0.692329248,-0.54,-83.0104,-0.835560488,-0.205404131,-0.368074579,160511
-0.001269841,-0.680081752,-0.54,-56.4555,-0.850946721,-0.051536316,-0.065888398,160512
0.000918858,-0.709320218,-0.56,-55.1107,-0.881283727,0.057396135,-0.050585008,160513
0.021482277,-0.712897264,-0.56,-40.3423,-0.935038773,1.080845962,0.117474611,160516
0.004671927,-0.713013907,-0.56,-11.1416,-1.001156028,0.244187923,0.449769142,160517
-0.028405056,-0.744760193,-0.58,1.6073,-1.081812789,-1.402067134,0.594847504,160518
0.006594342,-0.80636704,-0.62,-25.5331,-1.203402735,0.339867309,0.285998522,160519
-0.017293449,-0.674288492,-0.54,-170.1018,-0.700543876,-0.849037881,-1.359146569,160520
0.01362862,-0.701777316,-0.55,-174.2761,-0.692221763,0.68996622,-1.406648754,160523
-0.007644768,-0.688110666,-0.55,-144.5782,-0.679085404,-0.368819056,-1.068696249,160524
-0.005471562,-0.693942807,-0.55,-159.1834,-0.673690545,-0.260657699,-1.234898705,160525
0.009879527,-0.639237326,-0.52,-116.5876,-0.64855486,0.503372319,-0.750172265,160526
0.007530281,-0.688149547,-0.54,-108.9897,-0.661521874,0.386449378,-0.663710618,160527
-0.004776332,-0.664704341,-0.53,-100.3152,-0.660723532,-0.226055816,-0.564997611,160530
0.050040519,-0.603078054,-0.48,-24.1224,-0.667545729,2.50220142,0.302051832,160531
0.001694973,-0.699911031,-0.54,-73.9799,-0.698390771,0.096023697,-0.265310407,160601
0.002425141,-0.729363341,-0.56,-76.0942,-0.72113143,0.132364459,-0.289370458,160602
0.012858951,-0.67586317,-0.52,-29.003,-0.732864642,0.651659477,0.246512181,160603
-0.003749582,-0.727283211,-0.56,-77.8595,-0.76477414,-0.174954046,-0.309459002,160606
0.006382342,-0.736945124,-0.57,-28.7571,-0.781200637,0.329315982,0.249310444,160607
-0.000166783,-0.715463406,-0.55,-28.0776,-0.810328034,0.003363335,0.257042934,160608
-0.047034194,-0.662896377,-0.52,-14.4438,-0.86132517,-2.329247,0.412191173,160613
-0.015375476,-0.704110172,-0.55,-39.3612,-0.930563218,-0.753579575,0.128639212,160614
0.033378378,-0.703060387,-0.55,-32.846,-1.016130993,1.672919805,0.202780083,160615
-0.003145718,-0.792117176,-0.6,-17.7454,-1.167428949,-0.144899486,0.374620032,160616
-0.018001583,-0.683347751,-0.53,-153.6724,-0.830044669,-0.884282001,-1.172185306,160617
0.006839711,-0.693320712,-0.54,-137.3691,-0.817948574,0.352079425,-0.98665902,160620
-0.011423428,-0.657822415,-0.52,-139.2032,-0.793877345,-0.55688452,-1.007530485,160621
0.022559946,-0.680490002,-0.53,-86.8857,-0.781539328,1.134481991,-0.412174241,160622
0.000815217,-0.703935208,-0.55,-90.1737,-0.781200637,0.052237879,-0.449590618,160623
-0.016312424,-0.602261554,-0.48,-116.6202,-0.747379956,-0.800211863,-0.750543243,160624
0.026285791,-0.673316469,-0.52,-79.0191,-0.746388076,1.31991883,-0.322654875,160627
0.01239026,-0.678176586,-0.53,-70.5105,-0.737775657,0.628332533,-0.225829756,160628
0.005321962,-0.718807167,-0.55,-69.8021,-0.746968689,0.276540433,-0.217768393,160629
0.001454161,-0.745518371,-0.57,-71.8939,-0.757468099,0.084038385,-0.241572401,160630
