time,val,cmax,avg,std
2016-09-12,"3,262.60",1,0.955876078,0.017244052
2016-09-13,"3,260.33",1,0.958171844,0.019852204
2016-09-14,"3,238.73",0.999842497,0.960240046,0.02193158
2016-09-19,"3,263.12",1,0.962719256,0.023508451
2016-09-20,"3,257.40",0.998252873,0.965026681,0.024648878
2016-09-21,"3,266.64",0.999760667,0.966839275,0.025835728
2016-09-22,"3,291.12",0.996179655,0.969229429,0.026245743
2016-09-23,"3,275.67",0.989930085,0.971264376,0.026191308
2016-09-26,"3,220.28",0.989367654,0.973524779,0.025674663
2016-09-27,"3,240.75",0.989574078,0.976195101,0.024326713
2016-09-28,"3,230.89",0.990833565,0.978748048,0.022943263
2016-09-29,"3,244.39",0.995560382,0.981471621,0.021420061
2016-09-30,"3,253.28",0.987719251,0.983688503,0.019476644
2016-10-10,"3,293.87",0.991467796,0.986036527,0.017202418
2016-10-11,"3,306.56",0.993134149,0.98803954,0.015400171
2016-10-12,"3,300.01",1,0.990049902,0.014087101
2016-10-13,"3,302.65",1,0.99226124,0.011690743
