,per,normcjl,normcje,jc,normccl,y1o,y2o,y3o,y4o,time,y1,y2,y3,y4
1593,-0.005904202,0.083112186,0.15,-14.788,1.818927548,0.777887773,0.614561094,-1.184459472,-0.991251741,211202,0.681919823,1.013103144,-1.288768537,-0.599909012
1594,0.01053787,0.035813525,0.11,-13.9173,1.647550075,0.567804611,0.98212545,-0.489847846,-1.19379726,211203,0.471836661,1.3806675,-0.594156911,-0.802454531
1595,-0.008731567,0.009121761,0.09,-25.2558,1.543693004,0.640981909,0.319639615,-1.132160242,-0.891322915,211206,0.545013959,0.718181665,-1.236469307,-0.499980186
1596,-0.007245165,0.249250436,0.28,-29.6257,1.553273111,0.92630871,0.340586416,-0.997840722,-0.88028271,211207,0.83034076,0.739128466,-1.102149787,-0.488939981
1597,0.015774431,0.126814361,0.18,-25.3905,1.275111312,0.548769758,0.8576172,-0.027521284,-1.13653928,211208,0.452801808,1.25615925,-0.131830349,-0.745196551
1598,0.003834356,0.035094227,0.12,-17.9177,1.13987697,0.464162362,0.521635913,-0.437809978,-0.816713849,211209,0.368194412,0.920177963,-0.542119043,-0.42537112
1599,0.001065283,-0.05637318,0.04,15.354,0.923332678,0.238808411,0.594817415,-0.521466681,-0.41685912,211210,0.142840461,0.993359465,-0.625775746,-0.025516391
1600,0.002045101,-0.00913284,0.08,-18.4306,0.669096955,0.274778938,0.237870214,-0.248475983,-0.538197196,211213,0.178810988,0.636412264,-0.352785048,-0.146854467
1601,-0.001282016,-0.131316189,-0.02,8.0669,0.350800312,0.000493758,0.192585541,-0.288042194,-0.132457597,211214,-0.095474192,0.591127591,-0.392351259,0.258885132
1602,-0.002160063,-0.082773337,0.02,0.3414,-0.085094565,-0.056444831,-0.10156012,-0.038240795,0.085369298,211215,-0.152412781,0.29698193,-0.14254986,0.476712027
1603,0.006774517,-0.165142605,-0.05,-0.3974,-0.687480094,-0.394897254,-0.161715929,0.615442169,0.234970912,211216,-0.490865204,0.236826121,0.511133104,0.626313641
