time,normper,normcjl,normcje,normjc,normccl
191021,0.724851247,0.35510379,0.02,-0.000990101,0.426183176
191022,-0.239058187,0.125861778,-0.11,0.073633268,0.311100929
191023,0.139021451,0.252088744,-0.04,0.186842846,0.419433555
191024,0.569982897,0.376080056,0.03,0.344771139,0.431239344
191025,0.822366465,0.316397816,0.02,0.143358824,0.413651622
191028,-0.590026438,0.046466902,-0.14,0.256644646,0.300480557
191029,-0.731449759,0.167250537,-0.08,0.213597604,0.394926867
191030,-0.254846755,0.100414204,-0.12,0.296418892,0.341704049
191031,0.532683408,0.243476616,-0.04,0.415540212,0.362436756
191101,0.154215312,0.108423677,-0.11,0.234752423,0.287682889
191104,0.376114801,0.295946443,0,0.268134705,0.333889972
191105,-0.482484473,0.161710003,-0.08,0.356538863,0.230395783
191106,0.500352499,0.397114644,0.05,0.386896427,0.326825852
191107,-0.15854927,0.354714981,0.03,0.377483158,0.193478501
191108,-1.210587371,0.122459696,-0.11,0.415427553,0.077743065
191111,-0.09058837,0.18396934,-0.08,0.414801671,-0.006687678
191112,0.093385667,-0.057695132,-0.22,0.53851469,-0.323169906
191113,0.425825488,-0.243876505,-0.32,0.472916542,-0.837495863
191114,-0.250589643,0.449837196,0.06,0.029914826,1.415885665
191115,0.288451239,0.341262176,0,0.150264012,1.373815446
191118,0.929833475,0.372677974,0.03,0.217951468,1.388137223
191119,-0.311309246,0.177553985,-0.08,0.054506307,1.310528678
191120,0.096689924,0.268982512,-0.03,0.249746285,1.380613452
191121,-0.505217905,0.966156617,0.36,-0.004748808,1.615156733
191122,0.240380985,0.350010387,0.01,0.268143809,1.345583161
191125,-0.051917905,0.34266189,0.01,0.246974196,1.348510416
191126,0.185037631,0.553318814,0.13,0.302798339,1.346913731
191127,0.109657555,0.237294547,-0.05,0.423392189,1.253314149
191128,0.146261503,0.470171927,0.08,0.417906046,1.304045171
191129,0.263769196,0.236516928,-0.05,0.469350152,1.139441511
191202,0.436119453,0.361771871,0.02,0.55772586,1.218888662
191203,0.052195475,0.274931295,-0.03,0.475639699,1.049978792
191204,0.559518021,0.383331351,0.04,0.492323443,1.118636227
191205,0.50385106,0.275825557,-0.02,0.634474953,0.991482077
191206,0.290939411,0.218806661,-0.04,0.587891108,0.91462349
191209,0.319144453,0.23039318,-0.03,0.589627646,0.802541074
191210,-0.207928586,0.194914324,-0.05,0.625735361,0.654146181
191211,-0.099426053,0.110756533,-0.1,0.642546558,0.579440699
191212,0.648819279,0.359963907,0.05,0.796346304,0.560256292
191213,0.769148954,0.273414939,0,0.557904521,0.401603911
191216,0.833421618,0.343361747,0.06,0.678263949,0.160407778
191217,-0.107912356,0.091529909,-0.09,0.682105728,-0.236174791
191218,0.057163358,-0.263180891,-0.3,0.677408198,-0.766685323
191219,-0.422485744,0.259553884,0.01,0.803294735,0.576900519
191220,-1.320333318,0.44044745,0.11,0.461047539,0.637018111
191223,0.433578574,0.130041479,-0.08,0.361820171,0.50333207
191224,0.192724571,0.306852546,0.03,0.402463825,0.558514455
191225,0.560757305,0.286401172,0.02,0.390608478,0.507831817
191226,-0.190748586,0.462706787,0.13,0.399114786,0.580868038
191227,0.620865429,0.513932423,0.16,0.611398106,0.536572138
191230,0.294997989,0.162293217,-0.04,0.600884423,0.441182334
191231,0.893492912,0.357397766,0.09,0.527197601,0.489760251
200102,0.096805093,0.124151017,-0.05,0.546546466,0.390330351
200103,0.451380703,0.56393331,0.23,0.555501133,0.578835894
200106,0.760798923,0.358058741,0.11,0.589763064,0.387620825
200107,-0.493953965,0.578708066,0.24,0.688116474,0.451149516
200108,0.603694935,0.351954434,0.1,0.5817586,0.264893846
200109,-0.119406384,0.309632533,0.08,0.437407399,0.261023096
200110,0.849628108,0.448554125,0.17,0.708251674,0.183825818
200113,-0.002700592,0.102610977,-0.04,0.590990932,-0.099246996
200114,-0.26225508,0.081576389,-0.06,0.503424318,-0.331298482
200115,0.04401531,-0.202993198,-0.24,0.698688193,-0.85358367
200116,0.745935089,0.196139074,0.02,0.704738768,0.163407609
200120,-0.639719556,0.353626315,0.11,0.4930085,0.256329811
200121,0.521782394,0.53325625,0.22,0.636725853,0.31078643
200122,-2.207635936,0.800407177,0.38,0.219905359,0.357816047
200123,-5.517000602,-0.015256588,-0.2,-0.624011478,0.062356832
200203,1.494828481,0.570795795,0.14,0.081833463,0.331059485
200204,0.986552582,0.653709396,0.22,-0.101238226,0.214598283
200205,1.797574877,0.764539511,0.3,0.206806213,0.364976936
200206,0.554402419,0.657480847,0.25,0.273437635,0.27919143
200207,0.477000371,0.471299474,0.15,-0.129380167,0.288457039
200210,-0.025782517,0.414125055,0.12,0.065873467,0.267046951
200211,0.994806059,0.444413305,0.15,0.315437746,0.263127816
200212,-0.276324827,0.494958525,0.18,0.339384,0.286013628
200213,0.06690736,0.453142076,0.16,0.403557412,0.200179738
200214,1.833270515,0.397425692,0.14,0.589796065,0.052196112
200217,0.427257632,0.402694059,0.16,0.209969763,-0.094553712
200218,-0.135769502,0.059900266,-0.06,0.582672388,-0.43169607
200219,0.831833643,0.78936499,0.41,0.133742997,1.418933881
200220,0.94588284,1.23729284,0.72,0.47377457,1.61380197
200221,0.472850564,1.261165736,0.75,-0.100152605,1.625631951
200224,0.276988466,2.120687199,1.31,0.063084308,1.908970879
200225,-1.054210181,2.087618961,1.29,0.258006793,1.730142211
200226,-0.108621584,1.569783184,0.94,0.078949853,1.74835893
200227,-3.022823815,2.30760731,1.33,-0.20055777,1.742915688
200228,1.61182747,1.720407939,0.99,-0.081408001,1.574562238
200302,-0.055636203,1.697370983,1.02,-0.44332952,1.49968741
200303,0.280817055,1.37691429,0.79,-0.084729729,1.458609072
200304,0.970825829,1.509323325,0.9,-0.248696079,1.420022529
200305,-0.440395876,1.150180098,0.65,-0.366365352,1.367598054
200306,-2.099873986,1.560237914,0.88,-0.076826543,1.3659046
200309,1.385932363,2.002450266,1.15,0.122379252,1.356663184
200310,-0.856728156,1.294525581,0.73,-0.157786116,1.124273008
200311,-0.666238425,1.35164168,0.72,0.384424761,1.220146656
200312,0.013490768,1.982057214,1.08,0.460477418,1.20616357
200313,-2.605999604,1.434341436,0.73,-0.007382065,0.797581675
200316,-0.167553235,1.617470655,0.81,0.045559605,0.727448517
200317,-0.712283273,1.382824192,0.68,0.211592505,0.279989772
200318,0.29980158,0.696653393,0.25,0.457940888,-0.600751093
200319,0.772650203,1.370596137,0.64,-0.020658734,1.056123609
200320,-1.805023019,1.520929285,0.7,0.181574055,1.105306331
200323,0.609304907,1.720582903,0.82,-0.174966015,1.261660454
200324,1.093882176,1.291492868,0.61,-0.286292255,1.024843107
200325,-0.659243692,1.058110036,0.46,-0.300919692,1.009505259
200326,-0.386215457,1.392136177,0.65,-0.37634419,1.151440837
200327,-1.114752502,1.286652191,0.55,-0.018436283,1.155722854
200330,-0.15093171,1.035384127,0.42,-0.364012034,1.111475339
200331,-0.179358329,1.305101197,0.58,-0.206577619,1.201083211
200401,1.738456089,1.422482749,0.65,0.385356757,1.221356266
200402,-0.232192707,0.980348159,0.41,0.059472398,1.004836166
200403,1.533514126,0.906474376,0.4,-0.038776318,0.988337093
200407,0.053542461,0.678865364,0.26,0.091827096,0.873133884
200408,0.48547035,0.698772404,0.28,0.015978135,0.898946951
200409,-0.835116748,0.929647416,0.41,0.431918981,0.901898398
200410,-0.412465915,0.565294143,0.18,0.242270976,0.668443766
