time,normval,normbuy,normsell,normavg,normper
220427,-0.939324076,-0.910299047,-0.933607218,-0.922210918,0.72291602
220509,-0.949197299,-0.959741511,-0.982887752,-0.971584126,-0.32772286
220516,-1.067281056,-1.076821266,-1.102540889,-1.090079823,0.023517709
220523,-1.160681753,-1.147622875,-1.175081836,-1.161572227,-0.662729012
220530,-1.155152747,-1.134174525,-1.160297675,-1.147550236,0.720299516
220607,-1.033317166,-1.033905207,-1.061736607,-1.04801385,0.244891463
220614,-1.034699417,-1.028960961,-1.056808554,-1.043076529,0.521529212
220621,-0.992047091,-0.97477202,-1.007528019,-0.991333408,0.318102992
220628,-0.903977934,-0.870151766,-0.895759768,-0.883304831,-0.076485042
220705,-0.85658646,-0.848397082,-0.874470577,-0.86158062,0.136294981
220712,-1.011793538,-1.014128222,-1.032168287,-1.023327247,-0.83854492
220719,-1.097493121,-1.093236164,-1.115945195,-1.104891785,0.221817499
220726,-1.148241491,-1.147622875,-1.175081836,-1.161572227,-0.323385627
220802,-1.271459324,-1.26569148,-1.289609797,-1.277895503,-0.571265934
220809,-1.312137005,-1.298719046,-1.325091782,-1.312259255,1.452547361
220816,-1.488077853,-1.461681408,-1.489097399,-1.475783317,-0.976106339
220823,-1.436144696,-1.414612182,-1.44119672,-1.428187545,0.570243428
220830,-1.416200784,-1.424500675,-1.451052827,-1.438062187,-0.539190092
220906,-1.498346006,-1.488775878,-1.515117521,-1.502247356,-0.003062875
220914,-1.398626446,-1.375058211,-1.396844239,-1.386319065,0.465665078
220921,-1.362490447,-1.360225471,-1.382060079,-1.371507103,-0.106598995
220928,-1.272051717,-1.2380037,-1.263195431,-1.251036478,0.056378767
221011,-1.324972196,-1.291006021,-1.314250064,-1.302977092,-0.123251966
221018,-1.375720567,-1.361016551,-1.386988133,-1.374469496,-0.028168568
221025,-1.270472001,-1.238992549,-1.268517728,-1.254196363,0.727382597
221101,-1.313519257,-1.299707895,-1.324106171,-1.312259255,0.259188855
221108,-1.188721708,-1.202602895,-1.229290423,-1.21627774,0.908502539
221115,-0.825782002,-0.766915901,-0.790693669,-0.779028618,1.412384273
221122,-0.838419729,-0.804689943,-0.834060539,-0.819514648,0.198979805
221129,-0.740279884,-0.7400192,-0.761125349,-0.750787143,1.545310869
221206,-0.766345195,-0.717473436,-0.741413135,-0.729655411,0.735526066
221213,-0.746006354,-0.725582,-0.755014562,-0.740517516,0.590755224
221220,-0.8680394,-0.831784414,-0.859686417,-0.845978687,0.36651396
221227,-0.813144276,-0.776804393,-0.805477829,-0.791273173,2.016024805
230104,-0.980199222,-0.97477202,-1.002599966,-0.988963494,-0.911708189
230111,-0.767332517,-0.766915901,-0.795621723,-0.781398532,0.672479677
230118,-0.69111123,-0.64330974,-0.66256428,-0.653028193,-0.115561693
230201,-0.714609502,-0.697696451,-0.724657753,-0.711288578,-0.167982622
230208,-0.679065897,-0.644891899,-0.67360312,-0.659347964,0.301997291
230215,-0.661886487,-0.658142479,-0.687204547,-0.672777476,0.564324238
230222,-0.528400502,-0.490038101,-0.514722678,-0.502538658,0.381211957
230301,-0.435197269,-0.425762897,-0.455586037,-0.440723402,-0.913444144
230308,-0.433617554,-0.397679578,-0.426017716,-0.412086942,0.109499219
230315,-0.435197269,-0.415874405,-0.44572993,-0.430848761,0.601692032
