time,feature_0,feature_1
200313,-1.459389351,1.005797777
200316,-1.650398759,-0.719168518
200317,-1.724795047,-1.013253102
200318,-1.873964439,-0.792583315
200319,-1.976429752,-1.185466533
200320,-2.093956852,-0.504307557
200323,-2.432574418,-2.255121457
200324,-2.672590838,-2.166362821
200325,-2.754748838,-0.518784518
200326,-2.872073933,-1.846887904
200327,-2.649641612,1.30107125
200330,-2.844139143,-1.02293645
200331,-2.632340063,6.905841567
200401,-3.184818547,-8.440345159
200402,-3.112199667,-0.136827748
200403,-3.357767144,-2.033129923
200407,-4.713962563,-10.12011252
200408,-5.033361809,-5.496818414
200409,-4.804164292,-0.229893019
200410,-4.43619579,4.681387203
200413,-4.29353555,2.118593524
200414,-4.6216156,-2.775449576
200415,-4.83578883,-2.953153892
200416,-4.834934241,-0.640408554
200417,-4.642473026,1.327287841
200420,-4.685231865,0.774586757
200421,-4.85342686,-0.791089388
200422,-4.91973244,-1.551389722
200423,-4.846716545,0.585256278
200424,-4.70794255,1.441105897
200426,-4.733299464,0.322044713
200427,-4.722571131,0.132264494
200428,-4.745887137,-0.070406767
200429,-4.905890137,-1.171864816
200430,-4.655435336,4.757517188
200506,-4.706568005,-3.068955697
200507,-4.477204163,2.089971817
200508,-4.597179712,-0.209384169
200509,-4.582139589,0.086181143
200511,-4.413801061,1.557459493
200512,-4.595015881,-0.771354362
200513,-4.743692883,-2.112799992
200514,-4.830807739,-0.588470892
200515,-4.789256002,-0.502723315
200518,-4.593718016,1.790871664
200519,-4.446542601,2.305554318
200520,-4.426198697,0.305724216
200521,-4.401042558,-0.073458703
200522,-4.647027444,-1.330986966
200525,-4.333114659,1.952884303
200526,-3.744878321,5.85624514
200527,-3.398479124,4.254084551
200528,-3.49861796,0.471302882
200529,-3.623032017,-0.58089409
200601,-3.644231741,6.114669182
200602,-3.127481075,3.794352336
200603,-2.900387961,5.922995707
200604,-2.531141649,0.63621246
200605,-2.523645837,1.539667489
200608,-2.609860775,-0.39217566
200609,-2.711344221,-1.004069331
200610,-2.505977241,0.968720799
200611,-2.569784765,0.440495508
200612,-2.695352013,-1.216236411
200615,-2.825753312,-1.28355928
200616,-2.611399596,1.559358092
200617,-2.313928731,2.250049703
200618,-2.341611456,0.775991406
200619,-2.24462959,0.433565975
200622,-1.897165319,1.856970935
200623,-1.874568548,2.119467032
200624,-2.146647725,-2.33541006
200629,-2.055135202,0.251654089
200630,-1.95776215,1.03479662
200701,-1.962662689,-0.296378428
200702,-2.046890296,-0.208606523
200703,-1.966645065,0.025525363
200706,-1.486501719,2.981513874
200707,-1.300540588,3.022114213
200708,-1.058727469,0.900431704
200709,-0.816693592,2.430441107
200710,-0.922269503,-0.300269497
200713,-0.761939775,0.715805791
200714,-0.902221759,-0.844788162
200715,-1.015312123,-0.390931836
200716,-1.031729299,-0.692937441
200717,-1.025507859,0.176023064
200721,-1.31929146,-1.706059387
200722,-1.290798043,-0.015636751
200723,-1.194166993,0.392794789
200724,-1.350978443,-0.362198703
200727,-1.305743258,-0.343774256
200728,-1.167495122,0.999808564
200729,-1.140069633,0.436542716
200730,-1.127989589,0.009590747
200731,-1.019224195,0.64612463
200803,-1.028426006,0.337750104
200804,-1.01560973,-0.120413472
200805,-1.0094221,-0.035731992
200806,-0.918285471,0.631951789
200807,-0.88055322,0.41379404
