time,val,cmax,avg,std,rc,rc2,rc3
161019,3316.24,0.981633864,0.994278692,0.006115954,1,1,2.067515227
161020,3318.6,0.975130445,0.993035214,0.007304254,1,0,2.451279827
161021,3327.74,0.980581416,0.99207216,0.007622332,0,1,1.50751046
161024,3367.58,0.967282143,0.990436267,0.009182564,1,0,2.521531414
161025,3367.45,0.970025953,0.989024921,0.010046507,0,0,1.891101799
161026,3354.8,0.977295268,0.987901651,0.010038892,0,0,1.056529254
161027,3345.7,0.972707404,0.986728039,0.010386226,0,1,1.349925818
161028,3340.13,0.956259391,0.985044504,0.012377824,1,0,2.325539152
161031,3336.28,0.96233794,0.983693019,0.013320676,0,0,1.60315272
161101,3359.05,0.959410021,0.982184816,0.014291977,0,0,1.593537008
161102,3333.35,0.963418835,0.980814079,0.014726872,0,0,1.181190718
161103,3365.09,0.966058713,0.979338996,0.014649383,0,0,0.906542106
161104,3354.17,0.978111879,0.978858627,0.014517043,0,0,0.051439436
161107,3356.59,0.981880163,0.978379245,0.014234296,0,0,-0.245949477
161108,3371.12,0.97890612,0.977667844,0.013807201,0,0,-0.089683362
161109,3353.05,0.979689243,0.976652306,0.012787477,0,0,-0.237493025
